,sector,StartDate,Category,activity,Indicator,Indicator2,Governorate,Gender,Partner,SiteType,appeal,Fundedby,allocation,rcode,gcode,Value,Units,location,region,poptype
14971,BASIC NEEDS,30/7/2015,Basic HH Needs are met,[REF1.1]Provision of NFIs/Vouchers (Camp),Total Amount distributed in USD,Total Amount distributed this month in USD,ZAATARICAMP,Not Available,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,1,1711,2160,USD,Zaatari Camp (all district),North,
15113,BASIC NEEDS,30/4/2015,Basic HH Needs are met,[REF1.1]Provision of NFIs/Vouchers (Camp),Total Amount distributed in USD,Total Amount distributed this month in USD,ZAATARICAMP,Not Available,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,1,1711,1974,USD,Zaatari Camp (all district),North,
15698,BASIC NEEDS,28/2/2015,Basic HH Needs are met,[REF1.1]Provision of NFIs/Vouchers (Camp),Total Amount distributed in USD,Total Amount distributed this month in USD,ZAATARICAMP,Not Available,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,1,1711,3855,USD,Zaatari Camp (all district),North,
16304,BASIC NEEDS,30/3/2015,Basic HH Needs are met,[REF1.1]Provision of NFIs/Vouchers (Camp),Total Amount distributed in USD,Total Amount distributed this month in USD,ZAATARICAMP,Not Available,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,1,1711,2940,USD,Zaatari Camp (all district),North,
16421,BASIC NEEDS,30/5/2015,Basic HH Needs are met,[REF1.1]Provision of NFIs/Vouchers (Camp),Total Amount distributed in USD,Total Amount distributed this month in USD,ZAATARICAMP,Not Available,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,1,1711,2038.4,USD,Zaatari Camp (all district),North,
17031,BASIC NEEDS,30/1/2015,Basic HH Needs are met,[REF1.1]Provision of NFIs/Vouchers (Camp),Total Amount distributed in USD,Total Amount distributed this month in USD,ZAATARICAMP,Not Available,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,1,1711,6692,USD,Zaatari Camp (all district),North,
17388,BASIC NEEDS,30/6/2015,Basic HH Needs are met,[REF1.1]Provision of NFIs/Vouchers (Camp),Total Amount distributed in USD,Total Amount distributed this month in USD,ZAATARICAMP,Not Available,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,1,1711,1873.2,USD,Zaatari Camp (all district),North,
15814,BASIC NEEDS,30/5/2015,Basic HH Needs are met,[REF1.2]Provision of NFIs/Vouchers for Replen,Total Amount distributed in USD,Total Amount distributed this month in USD,ZAATARICAMP,Not Available,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,1,1711,216199,USD,Zaatari Camp (all district),North,
16963,BASIC NEEDS,30/7/2015,Basic HH Needs are met,[REF1.2]Provision of NFIs/Vouchers for Replen,Total Amount distributed in USD,Total Amount distributed this month in USD,ZAATARICAMP,Not Available,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,1,1711,232220.7,USD,Zaatari Camp (all district),North,
17070,BASIC NEEDS,28/2/2015,Basic HH Needs are met,[REF1.2]Provision of NFIs/Vouchers for Replen,Total Amount distributed in USD,Total Amount distributed this month in USD,ZAATARICAMP,Not Available,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,1,1711,1017895,USD,Zaatari Camp (all district),North,
19282,BASIC NEEDS,30/4/2015,Basic HH Needs are met,[REF1.2]Provision of NFIs/Vouchers for Replen,Total Amount distributed in USD,Total Amount distributed this month in USD,ZAATARICAMP,Not Available,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,1,1711,221560,USD,Zaatari Camp (all district),North,
341,BASIC NEEDS,30/4/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",Total Amount distributed in USD,Total Amount distributed this month in USD,AJLOUN,Not Available,ACF,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,72062,USD,Ajlun Governorate,North,
747,BASIC NEEDS,30/5/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",Total Amount distributed in USD,Total Amount distributed this month in USD,AJLOUN,Not Available,ACF,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,68433,USD,Ajlun Governorate,North,
947,BASIC NEEDS,30/6/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",Total Amount distributed in USD,Total Amount distributed this month in USD,AJLOUN,Not Available,ACF,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,68390,USD,Ajlun Governorate,North,
104,BASIC NEEDS,30/3/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",Total Amount distributed in USD,Total Amount distributed this month in USD,AJLOUN,Not Available,HI,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1701,2194,USD,Ajlun Governorate,North,
218,BASIC NEEDS,28/2/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",Total Amount distributed in USD,Total Amount distributed this month in USD,AJLOUN,Not Available,HI,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1701,2194,USD,Ajlun Governorate,North,
971,BASIC NEEDS,30/1/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",Total Amount distributed in USD,Total Amount distributed this month in USD,AJLOUN,Not Available,HI,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1701,1097,USD,Ajlun Governorate,North,
907,BASIC NEEDS,28/2/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",Total Amount distributed in USD,Total Amount distributed this month in USD,AJLOUN,Not Available,SCI,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,290,USD,Ajlun Governorate,North,
1008,BASIC NEEDS,30/3/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",Total Amount distributed in USD,Total Amount distributed this month in USD,AJLOUN,Not Available,SCI,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,290,USD,Ajlun Governorate,North,
192,BASIC NEEDS,28/2/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",Total Amount distributed in USD,Total Amount distributed this month in USD,AJLOUN,Not Available,UNHCR,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,28235,USD,Ajlun Governorate,North,
251,BASIC NEEDS,30/1/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",Total Amount distributed in USD,Total Amount distributed this month in USD,AJLOUN,Not Available,UNHCR,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,30071,USD,Ajlun Governorate,North,
320,BASIC NEEDS,30/7/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",Total Amount distributed in USD,Total Amount distributed this month in USD,AJLOUN,Not Available,UNHCR,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,36483.05,USD,Ajlun Governorate,North,
531,BASIC NEEDS,30/5/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",Total Amount distributed in USD,Total Amount distributed this month in USD,AJLOUN,Not Available,UNHCR,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,36907,USD,Ajlun Governorate,North,
547,BASIC NEEDS,30/4/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",Total Amount distributed in USD,Total Amount distributed this month in USD,AJLOUN,Not Available,UNHCR,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,36907,USD,Ajlun Governorate,North,
733,BASIC NEEDS,30/3/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",Total Amount distributed in USD,Total Amount distributed this month in USD,AJLOUN,Not Available,UNHCR,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,35565,USD,Ajlun Governorate,North,
1009,BASIC NEEDS,30/6/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",Total Amount distributed in USD,Total Amount distributed this month in USD,AJLOUN,Not Available,UNHCR,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,37146.89,USD,Ajlun Governorate,North,
224,BASIC NEEDS,30/6/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",Total Amount distributed in USD,Total Amount distributed this month in USD,AJLOUN,Not Available,UNICEF,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1701,2183616,USD,Ajlun Governorate,North,
304,BASIC NEEDS,30/7/2015,Basic HH Needs are met,"[REF1.3]Cash,Vouchers for most vuln.",Total Amount distributed in USD,Total Amount distributed this month in USD,AJLOUN,Not Available,UNICEF,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,1,1701,2144068,USD,Ajlun Governorate,North,
