,sector,StartDate,Category,activity,Indicator,Indicator2,Governorate,Gender,Partner,SiteType,appeal,Fundedby,allocation,rcode,gcode,Value,Units,location,region,poptype
34,EDUCATION,30/4/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary," # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services","Urban/Rural Syrian # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services",AJLOUN,,SC Jordan,   Urban areas - ,Indirect appeal,UNICEF,No,1,1701,1,# of benef.,Ajlun City,North,
45,EDUCATION,30/1/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary," # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services","Urban/Rural Syrian # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services",AJLOUN,,SC Jordan,   Urban areas - ,Indirect appeal,UNICEF,No,1,1701,37,# of benef.,Ajlun City,North,
60,EDUCATION,28/2/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary," # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services","Urban/Rural Syrian # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services",AJLOUN,,SC Jordan,   Urban areas - ,Indirect appeal,UNICEF,No,1,1701,28,# of benef.,Ajlun City,North,
72,EDUCATION,30/3/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary," # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services","Urban/Rural Syrian # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services",AJLOUN,,SC Jordan,   Urban areas - ,Indirect appeal,UNICEF,No,1,1701,10,# of benef.,Ajlun City,North,
3683,EDUCATION,30/6/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary," # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services","Urban/Rural Syrian # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services",AMMAN,,SC Jordan,   Urban areas - ,Indirect appeal,UNICEF,No,2,1705,100,# of benef.,Amman Governorate,Center,
3684,EDUCATION,30/4/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary," # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services","Urban/Rural Syrian # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services",AMMAN,,SC Jordan,   Urban areas - ,Indirect appeal,UNICEF,No,2,1705,202,# of benef.,Amman Governorate,Center,
3685,EDUCATION,30/1/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary," # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services","Urban/Rural Syrian # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services",AMMAN,,SC Jordan,   Urban areas - ,Indirect appeal,UNICEF,No,2,1705,1338,# of benef.,Amman Governorate,Center,
3686,EDUCATION,30/3/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary," # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services","Urban/Rural Syrian # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services",AMMAN,,SC Jordan,   Urban areas - ,Indirect appeal,UNICEF,No,2,1705,1809,# of benef.,Amman Governorate,Center,
4051,EDUCATION,28/2/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary," # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services","Urban/Rural Syrian # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services",AMMAN,,SC Jordan,   Urban areas - ,Indirect appeal,UNICEF,No,2,1705,1643,# of benef.,Amman Governorate,Center,
4416,EDUCATION,30/5/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary," # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services","Urban/Rural Syrian # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services",AMMAN,,SC Jordan,   Urban areas - ,Indirect appeal,UNICEF,No,2,1705,292,# of benef.,Amman Governorate,Center,
6109,EDUCATION,28/2/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary," # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services","Urban/Rural Syrian # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services",AQABAH,,SC Jordan,   Urban areas - ,Indirect appeal,UNICEF,No,3,1703,7,# of benef.,Aqaba City,South,
20107,EDUCATION,30/1/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary," # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services","Urban/Rural Syrian # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services",TAFILAH,,SC Jordan,   Urban areas - ,Indirect appeal,UNICEF,No,3,1706,3,# of benef.,At Tafilah City,South,
20108,EDUCATION,28/2/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary," # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services","Urban/Rural Syrian # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services",TAFILAH,,SC Jordan,   Urban areas - ,Indirect appeal,UNICEF,No,3,1706,2,# of benef.,At Tafilah City,South,
