,sector,StartDate,Category,activity,Indicator,Indicator2,Governorate,Gender,Partner,SiteType,appeal,Fundedby,allocation,rcode,gcode,Value,Units,location,region,poptype
2256,HEALTH,30/5/2015,Primary Health Care,[REF1.2]Improved NCD Mngt,# of Health care staff (including MoH) trained to provide NCD management,# of Health care staff (including MoH) trained to provide NCD management,BALQA,,Caritas,   Urban areas - ,Direct appeal,Caritas,Yes,2,1702,15,# of staff,Al Balqa Governorate,Center,
2267,HEALTH,28/2/2015,Primary Health Care,[REF1.2]Improved NCD Mngt,# of Health care staff (including MoH) trained to provide NCD management,# of Health care staff (including MoH) trained to provide NCD management,BALQA,,Caritas,   Urban areas - ,Direct appeal,Caritas,Yes,2,1702,15,# of staff,Al Balqa Governorate,Center,
2283,HEALTH,30/1/2015,Primary Health Care,[REF1.2]Improved NCD Mngt,# of Health care staff (including MoH) trained to provide NCD management,# of Health care staff (including MoH) trained to provide NCD management,BALQA,,Caritas,   Urban areas - ,Direct appeal,Caritas,Yes,2,1702,15,# of staff,Al Balqa Governorate,Center,
2297,HEALTH,30/6/2015,Primary Health Care,[REF1.2]Improved NCD Mngt,# of Health care staff (including MoH) trained to provide NCD management,# of Health care staff (including MoH) trained to provide NCD management,BALQA,,Caritas,   Urban areas - ,Direct appeal,Caritas,Yes,2,1702,15,# of staff,Al Balqa Governorate,Center,
2338,HEALTH,30/4/2015,Primary Health Care,[REF1.2]Improved NCD Mngt,# of Health care staff (including MoH) trained to provide NCD management,# of Health care staff (including MoH) trained to provide NCD management,BALQA,,Caritas,   Urban areas - ,Direct appeal,Caritas,Yes,2,1702,15,# of staff,Al Balqa Governorate,Center,
2345,HEALTH,30/3/2015,Primary Health Care,[REF1.2]Improved NCD Mngt,# of Health care staff (including MoH) trained to provide NCD management,# of Health care staff (including MoH) trained to provide NCD management,BALQA,,Caritas,   Urban areas - ,Direct appeal,Caritas,Yes,2,1702,15,# of staff,Al Balqa Governorate,Center,
5336,HEALTH,30/5/2015,Primary Health Care,[REF1.2]Improved NCD Mngt,# of Health care staff (including MoH) trained to provide NCD management,# of Health care staff (including MoH) trained to provide NCD management,AMMAN,,Caritas,   Urban areas - ,Direct appeal,Caritas,Yes,2,1705,15,# of staff,Amman Governorate,Center,
5337,HEALTH,30/6/2015,Primary Health Care,[REF1.2]Improved NCD Mngt,# of Health care staff (including MoH) trained to provide NCD management,# of Health care staff (including MoH) trained to provide NCD management,AMMAN,,Caritas,   Urban areas - ,Direct appeal,Caritas,Yes,2,1705,15,# of staff,Amman Governorate,Center,
5338,HEALTH,30/4/2015,Primary Health Care,[REF1.2]Improved NCD Mngt,# of Health care staff (including MoH) trained to provide NCD management,# of Health care staff (including MoH) trained to provide NCD management,AMMAN,,Caritas,   Urban areas - ,Direct appeal,Caritas,Yes,2,1705,15,# of staff,Amman Governorate,Center,
5341,HEALTH,30/1/2015,Primary Health Care,[REF1.2]Improved NCD Mngt,# of Health care staff (including MoH) trained to provide NCD management,# of Health care staff (including MoH) trained to provide NCD management,AMMAN,,Caritas,   Urban areas - ,Direct appeal,Caritas,Yes,2,1705,15,# of staff,Amman Governorate,Center,
5342,HEALTH,30/3/2015,Primary Health Care,[REF1.2]Improved NCD Mngt,# of Health care staff (including MoH) trained to provide NCD management,# of Health care staff (including MoH) trained to provide NCD management,AMMAN,,Caritas,   Urban areas - ,Direct appeal,Caritas,Yes,2,1705,15,# of staff,Amman Governorate,Center,
5463,HEALTH,28/2/2015,Primary Health Care,[REF1.2]Improved NCD Mngt,# of Health care staff (including MoH) trained to provide NCD management,# of Health care staff (including MoH) trained to provide NCD management,AMMAN,,Caritas,   Urban areas - ,Direct appeal,Caritas,Yes,2,1705,15,# of staff,Amman Governorate,Center,
