,sector,StartDate,Category,activity,Indicator,Indicator2,Governorate,Gender,Partner,SiteType,appeal,Fundedby,allocation,rcode,gcode,Value,Units,location,region,poptype
23288,WASH,30/6/2015,Access to Safe Water,[REF1.1]Trucking to Communal facs.,# with access to potable water  as per the agreed minimum standards.,Camps Syrian Girls (Age 0-17) # with access to potable water  as per the agreed minimum standards.,AZRAQCAMP,Girls,ACTED,Camp    - ,Indirect appeal,UNICEF,Yes,1,1712,5323,# of benef,Azraq Camp,North,Camp
23327,WASH,30/7/2015,Access to Safe Water,[REF1.1]Trucking to Communal facs.,# with access to potable water  as per the agreed minimum standards.,Camps Syrian Boys (Age 0-17) # with access to potable water  as per the agreed minimum standards.,AZRAQCAMP,Boys,ACTED,Camp    - ,Indirect appeal,UNICEF,Yes,1,1712,6050,# of benef,Azraq Camp,North,Camp
23330,WASH,30/6/2015,Access to Safe Water,[REF1.1]Trucking to Communal facs.,# with access to potable water  as per the agreed minimum standards.,Camps Syrian Men (Age 18 and above) # with access to potable water  as per the agreed minimum standards.,AZRAQCAMP,Men,ACTED,Camp    - ,Indirect appeal,UNICEF,Yes,1,1712,4190,# of benef,Azraq Camp,North,Camp
23371,WASH,30/7/2015,Access to Safe Water,[REF1.1]Trucking to Communal facs.,# with access to potable water  as per the agreed minimum standards.,Camps Syrian Men (Age 18 and above) # with access to potable water  as per the agreed minimum standards.,AZRAQCAMP,Men,ACTED,Camp    - ,Indirect appeal,UNICEF,Yes,1,1712,4409,# of benef,Azraq Camp,North,Camp
23489,WASH,30/4/2015,Access to Safe Water,[REF1.1]Trucking to Communal facs.,# with access to potable water  as per the agreed minimum standards.,Camps Syrian Boys (Age 0-17) # with access to potable water  as per the agreed minimum standards.,AZRAQCAMP,Boys,ACTED,Camp    - ,Indirect appeal,UNICEF,Yes,1,1712,4522,# of benef,Azraq Camp,North,Camp
23529,WASH,30/4/2015,Access to Safe Water,[REF1.1]Trucking to Communal facs.,# with access to potable water  as per the agreed minimum standards.,Camps Syrian Men (Age 18 and above) # with access to potable water  as per the agreed minimum standards.,AZRAQCAMP,Men,ACTED,Camp    - ,Indirect appeal,UNICEF,Yes,1,1712,4522,# of benef,Azraq Camp,North,Camp
23560,WASH,30/7/2015,Access to Safe Water,[REF1.1]Trucking to Communal facs.,# with access to potable water  as per the agreed minimum standards.,Camps Syrian Girls (Age 0-17) # with access to potable water  as per the agreed minimum standards.,AZRAQCAMP,Girls,ACTED,Camp    - ,Indirect appeal,UNICEF,Yes,1,1712,5663,# of benef,Azraq Camp,North,Camp
23661,WASH,30/7/2015,Access to Safe Water,[REF1.1]Trucking to Communal facs.,# with access to potable water  as per the agreed minimum standards.,Camps Syrian Women (Age 18 and above) # with access to potable water  as per the agreed minimum standards.,AZRAQCAMP,Women,ACTED,Camp    - ,Indirect appeal,UNICEF,Yes,1,1712,4734,# of benef,Azraq Camp,North,Camp
23669,WASH,30/6/2015,Access to Safe Water,[REF1.1]Trucking to Communal facs.,# with access to potable water  as per the agreed minimum standards.,Camps Syrian Women (Age 18 and above) # with access to potable water  as per the agreed minimum standards.,AZRAQCAMP,Women,ACTED,Camp    - ,Indirect appeal,UNICEF,Yes,1,1712,4443,# of benef,Azraq Camp,North,Camp
23688,WASH,30/4/2015,Access to Safe Water,[REF1.1]Trucking to Communal facs.,# with access to potable water  as per the agreed minimum standards.,Camps Syrian Women (Age 18 and above) # with access to potable water  as per the agreed minimum standards.,AZRAQCAMP,Women,ACTED,Camp    - ,Indirect appeal,UNICEF,Yes,1,1712,4334,# of benef,Azraq Camp,North,Camp
23704,WASH,30/4/2015,Access to Safe Water,[REF1.1]Trucking to Communal facs.,# with access to potable water  as per the agreed minimum standards.,Camps Syrian Girls (Age 0-17) # with access to potable water  as per the agreed minimum standards.,AZRAQCAMP,Girls,ACTED,Camp    - ,Indirect appeal,UNICEF,Yes,1,1712,4334,# of benef,Azraq Camp,North,Camp
23711,WASH,30/6/2015,Access to Safe Water,[REF1.1]Trucking to Communal facs.,# with access to potable water  as per the agreed minimum standards.,Camps Syrian Boys (Age 0-17) # with access to potable water  as per the agreed minimum standards.,AZRAQCAMP,Boys,ACTED,Camp    - ,Indirect appeal,UNICEF,Yes,1,1712,5680,# of benef,Azraq Camp,North,Camp
18514,WASH,30/6/2015,Access to Safe Water,[REF1.1]Trucking to Communal facs.,# with access to potable water  as per the agreed minimum standards.,Camps Syrian Women (Age 18 and above) # with access to potable water  as per the agreed minimum standards.,ZAATARICAMP,Women,ACTED,Camp    - ,Indirect appeal,UNICEF,Yes,1,1711,18560,# of benef,Zaatari Camp (all district),North,Camp
18516,WASH,30/4/2015,Access to Safe Water,[REF1.1]Trucking to Communal facs.,# with access to potable water  as per the agreed minimum standards.,Camps Syrian Women (Age 18 and above) # with access to potable water  as per the agreed minimum standards.,ZAATARICAMP,Women,ACTED,Camp    - ,Indirect appeal,UNICEF,Yes,1,1711,20876,# of benef,Zaatari Camp (all district),North,Camp
18517,WASH,30/7/2015,Access to Safe Water,[REF1.1]Trucking to Communal facs.,# with access to potable water  as per the agreed minimum standards.,Camps Syrian Boys (Age 0-17) # with access to potable water  as per the agreed minimum standards.,ZAATARICAMP,Boys,ACTED,Camp    - ,Indirect appeal,UNICEF,Yes,1,1711,23444,# of benef,Zaatari Camp (all district),North,Camp
18518,WASH,30/7/2015,Access to Safe Water,[REF1.1]Trucking to Communal facs.,# with access to potable water  as per the agreed minimum standards.,Camps Syrian Men (Age 18 and above) # with access to potable water  as per the agreed minimum standards.,ZAATARICAMP,Men,ACTED,Camp    - ,Indirect appeal,UNICEF,Yes,1,1711,17257,# of benef,Zaatari Camp (all district),North,Camp
18636,WASH,30/7/2015,Access to Safe Water,[REF1.1]Trucking to Communal facs.,# with access to potable water  as per the agreed minimum standards.,Camps Syrian Women (Age 18 and above) # with access to potable water  as per the agreed minimum standards.,ZAATARICAMP,Women,ACTED,Camp    - ,Indirect appeal,UNICEF,Yes,1,1711,18560,# of benef,Zaatari Camp (all district),North,Camp
18756,WASH,30/6/2015,Access to Safe Water,[REF1.1]Trucking to Communal facs.,# with access to potable water  as per the agreed minimum standards.,Camps Syrian Girls (Age 0-17) # with access to potable water  as per the agreed minimum standards.,ZAATARICAMP,Girls,ACTED,Camp    - ,Indirect appeal,UNICEF,Yes,1,1711,22224,# of benef,Zaatari Camp (all district),North,Camp
18998,WASH,30/7/2015,Access to Safe Water,[REF1.1]Trucking to Communal facs.,# with access to potable water  as per the agreed minimum standards.,Camps Syrian Girls (Age 0-17) # with access to potable water  as per the agreed minimum standards.,ZAATARICAMP,Girls,ACTED,Camp    - ,Indirect appeal,UNICEF,Yes,1,1711,22223,# of benef,Zaatari Camp (all district),North,Camp
19120,WASH,30/6/2015,Access to Safe Water,[REF1.1]Trucking to Communal facs.,# with access to potable water  as per the agreed minimum standards.,Camps Syrian Men (Age 18 and above) # with access to potable water  as per the agreed minimum standards.,ZAATARICAMP,Men,ACTED,Camp    - ,Indirect appeal,UNICEF,Yes,1,1711,17258,# of benef,Zaatari Camp (all district),North,Camp
19240,WASH,30/4/2015,Access to Safe Water,[REF1.1]Trucking to Communal facs.,# with access to potable water  as per the agreed minimum standards.,Camps Syrian Girls (Age 0-17) # with access to potable water  as per the agreed minimum standards.,ZAATARICAMP,Girls,ACTED,Camp    - ,Indirect appeal,UNICEF,Yes,1,1711,20876,# of benef,Zaatari Camp (all district),North,Camp
19243,WASH,30/4/2015,Access to Safe Water,[REF1.1]Trucking to Communal facs.,# with access to potable water  as per the agreed minimum standards.,Camps Syrian Boys (Age 0-17) # with access to potable water  as per the agreed minimum standards.,ZAATARICAMP,Boys,ACTED,Camp    - ,Indirect appeal,UNICEF,Yes,1,1711,20875,# of benef,Zaatari Camp (all district),North,Camp
19244,WASH,30/4/2015,Access to Safe Water,[REF1.1]Trucking to Communal facs.,# with access to potable water  as per the agreed minimum standards.,Camps Syrian Men (Age 18 and above) # with access to potable water  as per the agreed minimum standards.,ZAATARICAMP,Men,ACTED,Camp    - ,Indirect appeal,UNICEF,Yes,1,1711,20875,# of benef,Zaatari Camp (all district),North,Camp
19604,WASH,30/6/2015,Access to Safe Water,[REF1.1]Trucking to Communal facs.,# with access to potable water  as per the agreed minimum standards.,Camps Syrian Boys (Age 0-17) # with access to potable water  as per the agreed minimum standards.,ZAATARICAMP,Boys,ACTED,Camp    - ,Indirect appeal,UNICEF,Yes,1,1711,23445,# of benef,Zaatari Camp (all district),North,Camp
22613,WASH,30/7/2015,Access to Safe Water,[REF1.1]Trucking to Communal facs.,# with access to potable water  as per the agreed minimum standards.,Urban/Rural Syrian Women (Age 18 and above) # with access to potable water  as per the agreed minimum standards.,ZARQA,Women,OXFAM,   Urban areas - ,Direct appeal,None - Fund direct from Donors,No,1,1712,121,# of benef,Zarqa Governorate,North,Urban
22614,WASH,30/7/2015,Access to Safe Water,[REF1.1]Trucking to Communal facs.,# with access to potable water  as per the agreed minimum standards.,Urban/Rural Syrian Girls (Age 0-17) # with access to potable water  as per the agreed minimum standards.,ZARQA,Girls,OXFAM,   Urban areas - ,Direct appeal,None - Fund direct from Donors,No,1,1712,107,# of benef,Zarqa Governorate,North,Urban
22735,WASH,30/7/2015,Access to Safe Water,[REF1.1]Trucking to Communal facs.,# with access to potable water  as per the agreed minimum standards.,Urban/Rural Syrian Boys (Age 0-17) # with access to potable water  as per the agreed minimum standards.,ZARQA,Boys,OXFAM,   Urban areas - ,Direct appeal,None - Fund direct from Donors,No,1,1712,119,# of benef,Zarqa Governorate,North,Urban
22858,WASH,30/7/2015,Access to Safe Water,[REF1.1]Trucking to Communal facs.,# with access to potable water  as per the agreed minimum standards.,Urban/Rural Syrian Men (Age 18 and above) # with access to potable water  as per the agreed minimum standards.,ZARQA,Men,OXFAM,   Urban areas - ,Direct appeal,None - Fund direct from Donors,No,1,1712,79,# of benef,Zarqa Governorate,North,Urban
43,WASH,30/4/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Urban/Rural Syrian Girls (Age 0-17) # with access to potable water  as per the agreed minimum standards.,AJLOUN,Girls,ACF,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,15,# of benef,Ajlun Governorate,North,Urban
44,WASH,30/5/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Host Community Women (Age 18 and above) # with access to potable water  as per the agreed minimum standards.,AJLOUN,Women,ACF,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,293,# of benef,Ajlun Governorate,North,Host Community
58,WASH,30/5/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Host Community Girls (Age 0-17) # with access to potable water  as per the agreed minimum standards.,AJLOUN,Girls,ACF,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,229,# of benef,Ajlun Governorate,North,Host Community
73,WASH,30/5/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Urban/Rural Syrian Boys (Age 0-17) # with access to potable water  as per the agreed minimum standards.,AJLOUN,Boys,ACF,   Urban areas - ,Indirect appeal,UNICEF,Yes,1,1701,193,# of benef,Ajlun Governorate,North,Urban
