,sector,StartDate,Category,activity,Indicator,Indicator2,Governorate,Gender,Partner,SiteType,appeal,Fundedby,allocation,rcode,gcode,Value,Units,location,region,poptype
921,EDUCATION,30/1/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary,# registered in Jordanian public schools (primary and secondary),Existing Urban/Rural Syrian Girls (Age 0-17) # registered in Jordanian public schools (primary and secondary),BALQA,Girls,ICCS,   Urban areas - ,Indirect appeal,UNICEF,Yes,2,1702,130,# of benef,Liwa Dayr Alla,Center,Urban
938,EDUCATION,30/3/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary,# registered in Jordanian public schools (primary and secondary),Existing Urban/Rural Syrian Girls (Age 0-17) # registered in Jordanian public schools (primary and secondary),BALQA,Girls,ICCS,   Urban areas - ,Indirect appeal,UNICEF,Yes,2,1702,131,# of benef,Liwa Dayr Alla,Center,Urban
13418,EDUCATION,30/1/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary,# registered in Jordanian public schools (primary and secondary),Existing Camps Syrian Boys (Age 0-17) # registered in Jordanian public schools (primary and secondary),ZaatariCamp,Boys,KnK,Camp    - ,Direct appeal,None - Fund direct from Donors,Yes,1,1711,81,# of benef,Zaatari District 3,North,Camp
13419,EDUCATION,30/6/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary,# registered in Jordanian public schools (primary and secondary),Existing Camps Syrian Girls (Age 0-17) # registered in Jordanian public schools (primary and secondary),ZaatariCamp,Girls,KnK,Camp    - ,Direct appeal,None - Fund direct from Donors,Yes,1,1711,91,# of benef,Zaatari District 3,North,Camp
14145,EDUCATION,30/4/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary,# registered in Jordanian public schools (primary and secondary),Existing Camps Syrian Boys (Age 0-17) # registered in Jordanian public schools (primary and secondary),ZaatariCamp,Boys,KnK,Camp    - ,Direct appeal,None - Fund direct from Donors,Yes,1,1711,3283,# of benef,Zaatari District 3,North,Camp
14503,EDUCATION,30/1/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary,# registered in Jordanian public schools (primary and secondary),Existing Camps Syrian Girls (Age 0-17) # registered in Jordanian public schools (primary and secondary),ZaatariCamp,Girls,KnK,Camp    - ,Direct appeal,None - Fund direct from Donors,Yes,1,1711,162,# of benef,Zaatari District 3,North,Camp
14508,EDUCATION,30/5/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary,# registered in Jordanian public schools (primary and secondary),Existing Camps Syrian Boys (Age 0-17) # registered in Jordanian public schools (primary and secondary),ZaatariCamp,Boys,KnK,Camp    - ,Direct appeal,None - Fund direct from Donors,Yes,1,1711,2339,# of benef,Zaatari District 3,North,Camp
14868,EDUCATION,28/2/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary,# registered in Jordanian public schools (primary and secondary),Existing Camps Syrian Boys (Age 0-17) # registered in Jordanian public schools (primary and secondary),ZaatariCamp,Boys,KnK,Camp    - ,Direct appeal,None - Fund direct from Donors,Yes,1,1711,2315,# of benef,Zaatari District 3,North,Camp
14869,EDUCATION,30/6/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary,# registered in Jordanian public schools (primary and secondary),Existing Camps Syrian Boys (Age 0-17) # registered in Jordanian public schools (primary and secondary),ZaatariCamp,Boys,KnK,Camp    - ,Direct appeal,None - Fund direct from Donors,Yes,1,1711,86,# of benef,Zaatari District 3,North,Camp
14870,EDUCATION,30/3/2015,Access to Inclusive Education,[REF1.1]Formal Educ Prim/Secondary,# registered in Jordanian public schools (primary and secondary),Existing Camps Syrian Girls (Age 0-17) # registered in Jordanian public schools (primary and secondary),ZaatariCamp,Girls,KnK,Camp    - ,Direct appeal,None - Fund direct from Donors,Yes,1,1711,7085,# of benef,Zaatari District 3,North,Camp
