,sector,StartDate,Category,activity,Indicator,Indicator2,Governorate,Gender,Partner,SiteType,appeal,Fundedby,allocation,rcode,gcode,Value,Units,location,region,poptype
99,FOOD/LIVELIHOOD,30/5/2015,Access to Food,[REF1.1]Food Assistance,# of Syrian refugees receiving food vouchers or other forms of food assistance,Urban/Rural Syrian Women (Age 18 and above) # of Syrian refugees receiving food vouchers or other forms of food assistance,AJLOUN,Women,WFP,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,2946,# of benef.,Ajlun Governorate,North,Urban
100,FOOD/LIVELIHOOD,28/2/2015,Access to Food,[REF1.1]Food Assistance,# of Syrian refugees receiving food vouchers or other forms of food assistance,Urban/Rural Syrian Boys (Age 0-17) # of Syrian refugees receiving food vouchers or other forms of food assistance,AJLOUN,Boys,WFP,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,3641,# of benef,Ajlun Governorate,North,Urban
101,FOOD/LIVELIHOOD,30/4/2015,Access to Food,[REF1.1]Food Assistance,# of Syrian refugees receiving food vouchers or other forms of food assistance,Urban/Rural Syrian Women (Age 18 and above) # of Syrian refugees receiving food vouchers or other forms of food assistance,AJLOUN,Women,WFP,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,3266,# of benef.,Ajlun Governorate,North,Urban
134,FOOD/LIVELIHOOD,30/3/2015,Access to Food,[REF1.1]Food Assistance,# of Syrian refugees receiving food vouchers or other forms of food assistance,Urban/Rural Syrian Girls (Age 0-17) # of Syrian refugees receiving food vouchers or other forms of food assistance,AJLOUN,Girls,WFP,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,3395,# of benef.,Ajlun Governorate,North,Urban
142,FOOD/LIVELIHOOD,30/1/2015,Access to Food,[REF1.1]Food Assistance,# of Syrian refugees receiving food vouchers or other forms of food assistance,Urban/Rural Syrian Men (Age 18 and above) # of Syrian refugees receiving food vouchers or other forms of food assistance,AJLOUN,Men,WFP,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,2975,# of benef.,Ajlun Governorate,North,Urban
143,FOOD/LIVELIHOOD,28/2/2015,Access to Food,[REF1.1]Food Assistance,# of Syrian refugees receiving food vouchers or other forms of food assistance,Urban/Rural Syrian Girls (Age 0-17) # of Syrian refugees receiving food vouchers or other forms of food assistance,AJLOUN,Girls,WFP,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,3425,# of benef.,Ajlun Governorate,North,Urban
173,FOOD/LIVELIHOOD,30/6/2015,Access to Food,[REF1.1]Food Assistance,# of Syrian refugees receiving food vouchers or other forms of food assistance,Urban/Rural Syrian Women (Age 18 and above) # of Syrian refugees receiving food vouchers or other forms of food assistance,AJLOUN,Women,WFP,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,2978,# of benef.,Ajlun Governorate,North,Urban
252,FOOD/LIVELIHOOD,30/1/2015,Access to Food,[REF1.1]Food Assistance,# of Syrian refugees receiving food vouchers or other forms of food assistance,Urban/Rural Syrian Girls (Age 0-17) # of Syrian refugees receiving food vouchers or other forms of food assistance,AJLOUN,Girls,WFP,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,3419,# of benef.,Ajlun Governorate,North,Urban
290,FOOD/LIVELIHOOD,30/1/2015,Access to Food,[REF1.1]Food Assistance,# of Syrian refugees receiving food vouchers or other forms of food assistance,Urban/Rural Syrian Boys (Age 0-17) # of Syrian refugees receiving food vouchers or other forms of food assistance,AJLOUN,Boys,WFP,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,3635,# of benef,Ajlun Governorate,North,Urban
291,FOOD/LIVELIHOOD,30/5/2015,Access to Food,[REF1.1]Food Assistance,# of Syrian refugees receiving food vouchers or other forms of food assistance,Urban/Rural Syrian Boys (Age 0-17) # of Syrian refugees receiving food vouchers or other forms of food assistance,AJLOUN,Boys,WFP,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,3969,# of benef,Ajlun Governorate,North,Urban
342,FOOD/LIVELIHOOD,30/6/2015,Access to Food,[REF1.1]Food Assistance,# of Syrian refugees receiving food vouchers or other forms of food assistance,Urban/Rural Syrian Men (Age 18 and above) # of Syrian refugees receiving food vouchers or other forms of food assistance,AJLOUN,Men,WFP,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,2025,# of benef.,Ajlun Governorate,North,Urban
380,FOOD/LIVELIHOOD,30/4/2015,Access to Food,[REF1.1]Food Assistance,# of Syrian refugees receiving food vouchers or other forms of food assistance,Urban/Rural Syrian Boys (Age 0-17) # of Syrian refugees receiving food vouchers or other forms of food assistance,AJLOUN,Boys,WFP,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,3368,# of benef,Ajlun Governorate,North,Urban
388,FOOD/LIVELIHOOD,30/4/2015,Access to Food,[REF1.1]Food Assistance,# of Syrian refugees receiving food vouchers or other forms of food assistance,Urban/Rural Syrian Girls (Age 0-17) # of Syrian refugees receiving food vouchers or other forms of food assistance,AJLOUN,Girls,WFP,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1701,3190,# of benef.,Ajlun Governorate,North,Urban
