,sector,StartDate,Category,activity,Indicator,Indicator2,Governorate,Gender,Partner,SiteType,appeal,Fundedby,allocation,rcode,gcode,Value,Units,location,region,poptype
5639,HEALTH,30/5/2015,Primary Health Care,[REF1.1]Comm. Disease Mngt / EPI services,# of polio and/or measles doses provided,Camps Syrian Girls (Age 0-17) # of polio and/or measles doses provided,IRBID,Girls,MDM,"  Other[Villages, Rural areas]  - ",Appeal outside of 3RP,None - Fund direct from Donors,Yes,1,1707,12,# of benef,Ar-Ramtha City,North,Camp
5640,HEALTH,30/5/2015,Primary Health Care,[REF1.1]Comm. Disease Mngt / EPI services,# of polio and/or measles doses provided,Camps Syrian Boys (Age 0-17) # of polio and/or measles doses provided,IRBID,Boys,MDM,"  Other[Villages, Rural areas]  - ",Appeal outside of 3RP,None - Fund direct from Donors,Yes,1,1707,20,# of benef,Ar-Ramtha City,North,Camp
5641,HEALTH,30/1/2015,Primary Health Care,[REF1.1]Comm. Disease Mngt / EPI services,# of polio and/or measles doses provided,Camps Syrian Girls (Age 0-17) # of polio and/or measles doses provided,IRBID,Girls,MDM,"  Other[Villages, Rural areas]  - ",Appeal outside of 3RP,None - Fund direct from Donors,Yes,1,1707,13,# of benef,Ar-Ramtha City,North,Camp
5642,HEALTH,30/1/2015,Primary Health Care,[REF1.1]Comm. Disease Mngt / EPI services,# of polio and/or measles doses provided,Camps Syrian Boys (Age 0-17) # of polio and/or measles doses provided,IRBID,Boys,MDM,"  Other[Villages, Rural areas]  - ",Appeal outside of 3RP,None - Fund direct from Donors,Yes,1,1707,16,# of benef,Ar-Ramtha City,North,Camp
5643,HEALTH,28/2/2015,Primary Health Care,[REF1.1]Comm. Disease Mngt / EPI services,# of polio and/or measles doses provided,Camps Syrian Boys (Age 0-17) # of polio and/or measles doses provided,IRBID,Boys,MDM,"  Other[Villages, Rural areas]  - ",Appeal outside of 3RP,None - Fund direct from Donors,Yes,1,1707,10,# of benef,Ar-Ramtha City,North,Camp
5644,HEALTH,30/4/2015,Primary Health Care,[REF1.1]Comm. Disease Mngt / EPI services,# of polio and/or measles doses provided,Camps Syrian Boys (Age 0-17) # of polio and/or measles doses provided,IRBID,Boys,MDM,"  Other[Villages, Rural areas]  - ",Appeal outside of 3RP,None - Fund direct from Donors,Yes,1,1707,30,# of benef,Ar-Ramtha City,North,Camp
8189,HEALTH,30/4/2015,Primary Health Care,[REF1.1]Comm. Disease Mngt / EPI services,# of polio and/or measles doses provided,Camps Syrian Girls (Age 0-17) # of polio and/or measles doses provided,IRBID,Girls,MDM,"  Other[Villages, Rural areas]  - ",Appeal outside of 3RP,None - Fund direct from Donors,Yes,1,1707,13,# of benef,Ar-Ramtha City,North,Camp
8190,HEALTH,28/2/2015,Primary Health Care,[REF1.1]Comm. Disease Mngt / EPI services,# of polio and/or measles doses provided,Camps Syrian Girls (Age 0-17) # of polio and/or measles doses provided,IRBID,Girls,MDM,"  Other[Villages, Rural areas]  - ",Appeal outside of 3RP,None - Fund direct from Donors,Yes,1,1707,14,# of benef,Ar-Ramtha City,North,Camp
8393,HEALTH,30/3/2015,Primary Health Care,[REF1.1]Comm. Disease Mngt / EPI services,# of polio and/or measles doses provided,Camps Syrian Girls (Age 0-17) # of polio and/or measles doses provided,IRBID,Girls,MDM,"  Other[Villages, Rural areas]  - ",Appeal outside of 3RP,None - Fund direct from Donors,Yes,1,1707,18,# of benef,Ar-Ramtha City,North,Camp
8434,HEALTH,30/3/2015,Primary Health Care,[REF1.1]Comm. Disease Mngt / EPI services,# of polio and/or measles doses provided,Camps Syrian Boys (Age 0-17) # of polio and/or measles doses provided,IRBID,Boys,MDM,"  Other[Villages, Rural areas]  - ",Appeal outside of 3RP,None - Fund direct from Donors,Yes,1,1707,24,# of benef,Ar-Ramtha City,North,Camp
