,sector,StartDate,Category,activity,Indicator,Indicator2,Governorate,Gender,Partner,SiteType,appeal,Fundedby,allocation,rcode,gcode,Value,Units,location,region,poptype
23744,PROTECTION,30/3/2015,Refugee Rights Respected,[REF1.1]Asylum/Detention/Non-Refoul,# of written interventions on refoulement or deportation,# of written interventions on refoulement or deportation,Countrywide,,UNHCR,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,3,1,36,# of action,Country Wide,,
23745,PROTECTION,30/1/2015,Refugee Rights Respected,[REF1.1]Asylum/Detention/Non-Refoul,# of written interventions on refoulement or deportation,# of written interventions on refoulement or deportation,Countrywide,,UNHCR,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,3,1,10,# of action,Country Wide,,
23746,PROTECTION,28/2/2015,Refugee Rights Respected,[REF1.1]Asylum/Detention/Non-Refoul,# of written interventions on refoulement or deportation,# of written interventions on refoulement or deportation,Countrywide,,UNHCR,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,3,1,20,# of action,Country Wide,,
23747,PROTECTION,30/5/2015,Refugee Rights Respected,[REF1.1]Asylum/Detention/Non-Refoul,# of written interventions on refoulement or deportation,# of written interventions on refoulement or deportation,Countrywide,,UNHCR,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,3,1,12,# of action,Country Wide,,
23748,PROTECTION,30/4/2015,Refugee Rights Respected,[REF1.1]Asylum/Detention/Non-Refoul,# of written interventions on refoulement or deportation,# of written interventions on refoulement or deportation,Countrywide,,UNHCR,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,3,1,16,# of action,Country Wide,,
3794,PROTECTION,30/1/2015,Community Empowered; Services to Vuln,[REF2.1]Info on services; Participation,#agencies with operational complaints and accountability mechanisms,#agencies with operational complaints and accountability mechanisms,AMMAN,,UNHCR,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,2,1705,1,# of benef,Amman Governorate,Center,
3801,PROTECTION,28/2/2015,Community Empowered; Services to Vuln,[REF2.1]Info on services; Participation,#agencies with operational complaints and accountability mechanisms,#agencies with operational complaints and accountability mechanisms,AMMAN,,UNHCR,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,2,1705,1,# of benef,Amman Governorate,Center,
22146,PROTECTION,28/2/2015,Community Empowered; Services to Vuln,[REF2.1]Info on services; Participation,#agencies with operational complaints and accountability mechanisms,#agencies with operational complaints and accountability mechanisms,AZRAQCAMP,,CARE,Camp    - ,Indirect appeal,UNHCR,Yes,1,1712,10,# of benef,Azraq Camp,North,
10098,PROTECTION,28/2/2015,Community Empowered; Services to Vuln,[REF2.1]Info on services; Participation,#agencies with operational complaints and accountability mechanisms,#agencies with operational complaints and accountability mechanisms,IRBID,,Intersos,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1707,6,# of benef,Irbid City,North,
10220,PROTECTION,30/1/2015,Community Empowered; Services to Vuln,[REF2.1]Info on services; Participation,#agencies with operational complaints and accountability mechanisms,#agencies with operational complaints and accountability mechanisms,IRBID,,Intersos,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1707,6,# of benef,Irbid City,North,
12974,PROTECTION,30/6/2015,Community Empowered; Services to Vuln,[REF2.1]Info on services; Participation,#agencies with operational complaints and accountability mechanisms,#agencies with operational complaints and accountability mechanisms,KARAK,,DRC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,3,1704,1,# of benef,Karak City,South,
13052,PROTECTION,30/7/2015,Community Empowered; Services to Vuln,[REF2.1]Info on services; Participation,#agencies with operational complaints and accountability mechanisms,#agencies with operational complaints and accountability mechanisms,KARAK,,DRC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,3,1704,1,# of benef,Karak City,South,
13094,PROTECTION,30/5/2015,Community Empowered; Services to Vuln,[REF2.1]Info on services; Participation,#agencies with operational complaints and accountability mechanisms,#agencies with operational complaints and accountability mechanisms,KARAK,,DRC,"  Other[Villages, Rural areas]Urban areas - ",Direct appeal,None - Fund direct from Donors,Yes,3,1704,1,# of benef,Karak City,South,
