,sector,StartDate,Category,activity,Indicator,Indicator2,Governorate,Gender,Partner,SiteType,appeal,Fundedby,allocation,rcode,gcode,Value,Units,location,region,poptype
15766,SHELTER,30/4/2015,Camps Adequate Shelter & Services,[REF1.1]Improving living conditions in Zaatar,# of people benefitting from existing shelters and associated facilities upgraded,Camps Syrian Girls (Age 0-17) # of people benefitting from existing shelters and associated facilities upgraded,AzraqCamp,Girls,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,1,1712,2101,# of benef.,Azraq Camp,North,Camp
15871,SHELTER,28/2/2015,Camps Adequate Shelter & Services,[REF1.1]Improving living conditions in Zaatar,# of people benefitting from existing shelters and associated facilities upgraded,Camps Syrian Men (Age 18 and above) # of people benefitting from existing shelters and associated facilities upgraded,AzraqCamp,Men,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,1,1712,2104,# of benef.,Azraq Camp,North,Camp
15967,SHELTER,30/3/2015,Camps Adequate Shelter & Services,[REF1.1]Improving living conditions in Zaatar,# of people benefitting from existing shelters and associated facilities upgraded,Camps Syrian Women (Age 18 and above) # of people benefitting from existing shelters and associated facilities upgraded,AzraqCamp,Women,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,1,1712,950,# of benef.,Azraq Camp,North,Camp
15969,SHELTER,30/3/2015,Camps Adequate Shelter & Services,[REF1.1]Improving living conditions in Zaatar,# of people benefitting from existing shelters and associated facilities upgraded,Camps Syrian Men (Age 18 and above) # of people benefitting from existing shelters and associated facilities upgraded,AzraqCamp,Men,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,1,1712,832,# of benef.,Azraq Camp,North,Camp
16081,SHELTER,30/5/2015,Camps Adequate Shelter & Services,[REF1.1]Improving living conditions in Zaatar,# of people benefitting from existing shelters and associated facilities upgraded,Camps Syrian Women (Age 18 and above) # of people benefitting from existing shelters and associated facilities upgraded,AzraqCamp,Women,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,1,1712,1898,# of benef.,Azraq Camp,North,Camp
16084,SHELTER,28/2/2015,Camps Adequate Shelter & Services,[REF1.1]Improving living conditions in Zaatar,# of people benefitting from existing shelters and associated facilities upgraded,Camps Syrian Girls (Age 0-17) # of people benefitting from existing shelters and associated facilities upgraded,AzraqCamp,Girls,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,1,1712,2806,# of benef.,Azraq Camp,North,Camp
16324,SHELTER,30/1/2015,Camps Adequate Shelter & Services,[REF1.1]Improving living conditions in Zaatar,# of people benefitting from existing shelters and associated facilities upgraded,Camps Syrian Women (Age 18 and above) # of people benefitting from existing shelters and associated facilities upgraded,AzraqCamp,Women,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,1,1712,1696,# of benef.,Azraq Camp,North,Camp
16328,SHELTER,30/1/2015,Camps Adequate Shelter & Services,[REF1.1]Improving living conditions in Zaatar,# of people benefitting from existing shelters and associated facilities upgraded,Camps Syrian Men (Age 18 and above) # of people benefitting from existing shelters and associated facilities upgraded,AzraqCamp,Men,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,1,1712,1484,# of benef.,Azraq Camp,North,Camp
16334,SHELTER,28/2/2015,Camps Adequate Shelter & Services,[REF1.1]Improving living conditions in Zaatar,# of people benefitting from existing shelters and associated facilities upgraded,Camps Syrian Women (Age 18 and above) # of people benefitting from existing shelters and associated facilities upgraded,AzraqCamp,Women,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,1,1712,2405,# of benef.,Azraq Camp,North,Camp
16446,SHELTER,30/1/2015,Camps Adequate Shelter & Services,[REF1.1]Improving living conditions in Zaatar,# of people benefitting from existing shelters and associated facilities upgraded,Camps Syrian Girls (Age 0-17) # of people benefitting from existing shelters and associated facilities upgraded,AzraqCamp,Girls,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,1,1712,1977,# of benef.,Azraq Camp,North,Camp
16447,SHELTER,30/5/2015,Camps Adequate Shelter & Services,[REF1.1]Improving living conditions in Zaatar,# of people benefitting from existing shelters and associated facilities upgraded,Camps Syrian Girls (Age 0-17) # of people benefitting from existing shelters and associated facilities upgraded,AzraqCamp,Girls,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,1,1712,2215,# of benef.,Azraq Camp,North,Camp
16678,SHELTER,28/2/2015,Camps Adequate Shelter & Services,[REF1.1]Improving living conditions in Zaatar,# of people benefitting from existing shelters and associated facilities upgraded,Camps Syrian Boys (Age 0-17) # of people benefitting from existing shelters and associated facilities upgraded,AzraqCamp,Boys,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,1,1712,2705,# of benef.,Azraq Camp,North,Camp
