,sector,StartDate,Category,activity,Indicator,Indicator2,Governorate,Gender,Partner,SiteType,appeal,Fundedby,allocation,rcode,gcode,Value,Units,location,region,poptype
20646,SHELTER,30/4/2015,Camps Adequate Shelter & Services,[REF1.1]Improving living conditions in Zaatar,# of existing shelters and associated facilities upgraded,# of existing shelters and associated facilities upgraded,AZRAQCAMP,,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,1,1712,1501,# of benef.,Azraq Camp,North,
21082,SHELTER,30/5/2015,Camps Adequate Shelter & Services,[REF1.1]Improving living conditions in Zaatar,# of existing shelters and associated facilities upgraded,# of existing shelters and associated facilities upgraded,AZRAQCAMP,,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,1,1712,1582,# of benef.,Azraq Camp,North,
21458,SHELTER,30/6/2015,Camps Adequate Shelter & Services,[REF1.1]Improving living conditions in Zaatar,# of existing shelters and associated facilities upgraded,# of existing shelters and associated facilities upgraded,AZRAQCAMP,,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,1,1712,318,# of benef.,Azraq Camp,North,
21538,SHELTER,30/1/2015,Camps Adequate Shelter & Services,[REF1.1]Improving living conditions in Zaatar,# of existing shelters and associated facilities upgraded,# of existing shelters and associated facilities upgraded,AZRAQCAMP,,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,1,1712,1413,# of benef.,Azraq Camp,North,
21663,SHELTER,30/3/2015,Camps Adequate Shelter & Services,[REF1.1]Improving living conditions in Zaatar,# of existing shelters and associated facilities upgraded,# of existing shelters and associated facilities upgraded,AZRAQCAMP,,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,1,1712,792,# of benef.,Azraq Camp,North,
22027,SHELTER,28/2/2015,Camps Adequate Shelter & Services,[REF1.1]Improving living conditions in Zaatar,# of existing shelters and associated facilities upgraded,# of existing shelters and associated facilities upgraded,AZRAQCAMP,,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,1,1712,2004,# of benef.,Azraq Camp,North,
14908,SHELTER,30/3/2015,Camps Adequate Shelter & Services,[REF1.3]Provision of emergency shelters to af,"# of households headed by women, girls, boys or men provided by emergency shelters","# of households headed by women, girls, boys or men provided by emergency shelters",ZAATARICAMP,,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,1,1711,43,# of HH,Zaatari Camp (all district),North,
14909,SHELTER,28/2/2015,Camps Adequate Shelter & Services,[REF1.3]Provision of emergency shelters to af,"# of households headed by women, girls, boys or men provided by emergency shelters","# of households headed by women, girls, boys or men provided by emergency shelters",ZAATARICAMP,,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,1,1711,140,# of HH,Zaatari Camp (all district),North,
15263,SHELTER,30/1/2015,Camps Adequate Shelter & Services,[REF1.3]Provision of emergency shelters to af,"# of households headed by women, girls, boys or men provided by emergency shelters","# of households headed by women, girls, boys or men provided by emergency shelters",ZAATARICAMP,,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,1,1711,292,# of HH,Zaatari Camp (all district),North,
15425,SHELTER,30/4/2015,Camps Adequate Shelter & Services,[REF1.3]Provision of emergency shelters to af,"# of households headed by women, girls, boys or men provided by emergency shelters","# of households headed by women, girls, boys or men provided by emergency shelters",ZAATARICAMP,,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,1,1711,8,# of HH,Zaatari Camp (all district),North,
15832,SHELTER,30/6/2015,Camps Adequate Shelter & Services,[REF1.3]Provision of emergency shelters to af,"# of households headed by women, girls, boys or men provided by emergency shelters","# of households headed by women, girls, boys or men provided by emergency shelters",ZAATARICAMP,,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,1,1711,6,# of HH,Zaatari Camp (all district),North,
16034,SHELTER,30/5/2015,Camps Adequate Shelter & Services,[REF1.3]Provision of emergency shelters to af,"# of households headed by women, girls, boys or men provided by emergency shelters","# of households headed by women, girls, boys or men provided by emergency shelters",ZAATARICAMP,,NRC,Camp    - ,Indirect appeal,UNHCR,Yes,1,1711,14,# of HH,Zaatari Camp (all district),North,
16270,SHELTER,30/5/2015,Camps Adequate Shelter & Services,[REF1.4]Provision of semi-permanent shelters ,"# of households headed by women, girls, boys or men provided by semi-permanent shelters","# of households headed by women, girls, boys or men provided by semi-permanent shelters",ZAATARICAMP,,UNHCR,Camp    - ,Appeal outside of 3RP,None - Fund direct from Donors,No,1,1711,519,# of HH,Zaatari Camp (all district),North,
16998,SHELTER,30/3/2015,Camps Adequate Shelter & Services,[REF1.4]Provision of semi-permanent shelters ,"# of households headed by women, girls, boys or men provided by semi-permanent shelters","# of households headed by women, girls, boys or men provided by semi-permanent shelters",ZAATARICAMP,,UNHCR,Camp    - ,Appeal outside of 3RP,None - Fund direct from Donors,No,1,1711,397,# of HH,Zaatari Camp (all district),North,
17370,SHELTER,28/2/2015,Camps Adequate Shelter & Services,[REF1.4]Provision of semi-permanent shelters ,"# of households headed by women, girls, boys or men provided by semi-permanent shelters","# of households headed by women, girls, boys or men provided by semi-permanent shelters",ZAATARICAMP,,UNHCR,Camp    - ,Appeal outside of 3RP,None - Fund direct from Donors,No,1,1711,412,# of HH,Zaatari Camp (all district),North,
17735,SHELTER,30/1/2015,Camps Adequate Shelter & Services,[REF1.4]Provision of semi-permanent shelters ,"# of households headed by women, girls, boys or men provided by semi-permanent shelters","# of households headed by women, girls, boys or men provided by semi-permanent shelters",ZAATARICAMP,,UNHCR,Camp    - ,Appeal outside of 3RP,None - Fund direct from Donors,No,1,1711,1002,# of HH,Zaatari Camp (all district),North,
17737,SHELTER,30/4/2015,Camps Adequate Shelter & Services,[REF1.4]Provision of semi-permanent shelters ,"# of households headed by women, girls, boys or men provided by semi-permanent shelters","# of households headed by women, girls, boys or men provided by semi-permanent shelters",ZAATARICAMP,,UNHCR,Camp    - ,Appeal outside of 3RP,None - Fund direct from Donors,No,1,1711,233,# of HH,Zaatari Camp (all district),North,
986,SHELTER,30/5/2015,Urban/Rural Adequate Shelter,[REF2.1]Upgrading of shelters to adequate sta,# of shelters upgraded to adequate standards,# of shelters upgraded to adequate standards,AJLOUN,,JHAS,   Urban areas - ,Indirect appeal,UNHCR,Yes,1,1701,44,# of facilities,Ajlun Governorate,North,
988,SHELTER,30/6/2015,Urban/Rural Adequate Shelter,[REF2.1]Upgrading of shelters to adequate sta,# of shelters upgraded to adequate standards,# of shelters upgraded to adequate standards,AJLOUN,,JHAS,   Urban areas - ,Indirect appeal,UNHCR,Yes,1,1701,13,# of facilities,Ajlun Governorate,North,
992,SHELTER,30/7/2015,Urban/Rural Adequate Shelter,[REF2.1]Upgrading of shelters to adequate sta,# of shelters upgraded to adequate standards,# of shelters upgraded to adequate standards,AJLOUN,,JHAS,   Urban areas - ,Indirect appeal,UNHCR,Yes,1,1701,39,# of facilities,Ajlun Governorate,North,
1996,SHELTER,28/2/2015,Urban/Rural Adequate Shelter,[REF2.1]Upgrading of shelters to adequate sta,Host Community Women (Age 18 and above),Host Community Women (Age 18 and above),BALQA,Women,Caritas,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,2,1702,2,# of benef,Al Balqa Governorate,Center,Host Community
1997,SHELTER,28/2/2015,Urban/Rural Adequate Shelter,[REF2.1]Upgrading of shelters to adequate sta,Urban/Rural Syrian Girls (Age 0-17),Urban/Rural Syrian Girls (Age 0-17),BALQA,Girls,Caritas,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,2,1702,8,# of benef,Al Balqa Governorate,Center,Urban
2076,SHELTER,28/2/2015,Urban/Rural Adequate Shelter,[REF2.1]Upgrading of shelters to adequate sta,Host Community Boys (Age 0-17),Host Community Boys (Age 0-17),BALQA,Boys,Caritas,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,2,1702,2,# of benef,Al Balqa Governorate,Center,Host Community
2146,SHELTER,28/2/2015,Urban/Rural Adequate Shelter,[REF2.1]Upgrading of shelters to adequate sta,Host Community Men (Age 18 and above),Host Community Men (Age 18 and above),BALQA,Men,Caritas,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,2,1702,1,# of benef,Al Balqa Governorate,Center,Host Community
2147,SHELTER,28/2/2015,Urban/Rural Adequate Shelter,[REF2.1]Upgrading of shelters to adequate sta,Urban/Rural Syrian Boys (Age 0-17),Urban/Rural Syrian Boys (Age 0-17),BALQA,Boys,Caritas,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,2,1702,7,# of benef,Al Balqa Governorate,Center,Urban
2194,SHELTER,28/2/2015,Urban/Rural Adequate Shelter,[REF2.1]Upgrading of shelters to adequate sta,Urban/Rural Syrian Men (Age 18 and above),Urban/Rural Syrian Men (Age 18 and above),BALQA,Men,Caritas,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,2,1702,5,# of benef,Al Balqa Governorate,Center,Urban
2216,SHELTER,28/2/2015,Urban/Rural Adequate Shelter,[REF2.1]Upgrading of shelters to adequate sta,Host Community Girls (Age 0-17),Host Community Girls (Age 0-17),BALQA,Girls,Caritas,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,2,1702,2,# of benef,Al Balqa Governorate,Center,Host Community
2300,SHELTER,28/2/2015,Urban/Rural Adequate Shelter,[REF2.1]Upgrading of shelters to adequate sta,Urban/Rural Syrian Women (Age 18 and above),Urban/Rural Syrian Women (Age 18 and above),BALQA,Women,Caritas,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,2,1702,8,# of benef,Al Balqa Governorate,Center,Urban
4346,SHELTER,30/5/2015,Urban/Rural Adequate Shelter,[REF2.1]Upgrading of shelters to adequate sta,Urban/Rural Syrian Men (Age 18 and above),Urban/Rural Syrian Men (Age 18 and above),AMMAN,Men,Caritas,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,2,1705,19,# of benef,Amman Governorate,Center,Urban
4347,SHELTER,28/2/2015,Urban/Rural Adequate Shelter,[REF2.1]Upgrading of shelters to adequate sta,Host Community Girls (Age 0-17),Host Community Girls (Age 0-17),AMMAN,Girls,Caritas,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,2,1705,5,# of benef,Amman Governorate,Center,Host Community
5086,SHELTER,28/2/2015,Urban/Rural Adequate Shelter,[REF2.1]Upgrading of shelters to adequate sta,Urban/Rural Syrian Men (Age 18 and above),Urban/Rural Syrian Men (Age 18 and above),AMMAN,Men,Caritas,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,2,1705,6,# of benef,Amman Governorate,Center,Urban
